XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:x(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection X (a:y(Car body)),
0.45537499,0,0.21592961,0.26013526
0.461375,0,0.14394639,0.20033796
0.46537501,0,0.18161078,0.091973536
0.470375,0,0.12918834,-0.010538635
0.47637501,0,0.075775519,-0.089434005
0.48037499,0,0.093729503,-0.13019107
0.48537499,0,0.037387524,-0.087222129
0.49087501,0,0.016468156,-0.0062295296
0.495875,0,0.025548408,0.096675456
0.50187498,0,-0.014489421,0.19022557
0.50587499,0,-0.016692255,0.20965429
0.51087499,0,-0.062330186,0.18469071
0.51537502,0,-0.89701921,-0.23545797
0.52037501,0,-0.0042018862,0.036081653
0.52537501,0,-0.0044871955,-0.030171305
0.530375,0,0.066770129,-0.13701984
0.535375,0,0.03979433,-0.16593708
0.54137498,0,0.068251379,-0.14464222
0.54537499,0,0.051058307,-0.10419197
0.55037498,0,0.044031318,-0.026767122
0.55637503,0,0.086998075,0.070022725
0.56037498,0,0.31120613,0.024728522
0.56537497,0,-0.025266334,0.19854309
0.57037503,0,-0.66366464,-0.27410451
0.57512498,0,-0.031434327,0.099953413
0.58012497,0,0.18494914,-0.051795535
0.58512503,0,0.10029735,-0.073633634
0.59012502,0,0.089200072,-0.10275567
0.59512502,0,0.13896093,-0.11981428
0.601125,0,0.066708155,-0.033008579
0.60512501,0,0.13541977,-0.015951825
0.61012501,0,0.03517187,0.097787179
0.615125,0,-0.26168483,0.033218827
0.62062502,0,0.11845426,0.17182063
0.62562501,0,0.081695952,0.16846536
0.63062501,0,0.032903582,0.12912191
0.63662499,0,0.06626457,0.028130971
0.640625,0,0.028916825,-0.018150637
0.64512497,0,-0.5890438,-0.33785546
0.65012503,0,0.041053675,-0.067045502
0.65512502,0,0.033112373,-0.025129003
0.66012502,0,0.060303278,0.017148595
0.66512501,0,0.027017731,0.09388832
0.67112499,0,-0.059084497,0.090011597
0.675125,0,0.072548218,0.1662721
0.680125,0,0.071192183,0.13805301
0.68612498,0,0.15856388,0.1059312
0.69012499,0,-0.89104348,-0.39969191
0.69512498,0,-0.37418708,-0.28075716
0.700625,0,0.13696192,-0.067495592
0.705625,0,0.067541845,-0.073126927
0.71062499,0,0.12817346,-0.072867945
0.71562499,0,0.085762389,-0.011753064
0.72162497,0,0.095093124,0.03644859
0.72562498,0,0.054084457,0.0781435
0.73062497,0,0.10656019,0.12414683
0.73562503,0,0.071562052,0.086206086
0.74062502,0,0.050186347,0.072805956
0.74562502,0,0.04401397,0.01845088
0.75062501,0,0.044099104,-0.029004898
0.75562501,0,-0.13208342,-0.13430062
0.760625,0,0.032498803,-0.064136073
0.765625,0,0.030001208,-0.045281652
0.770625,0,0.034979999,-0.012328246
0.77562499,0,-0.32014859,-0.097870439
0.78012502,0,0.03044151,0.092888206
0.78512502,0,0.045634147,0.11432102
0.79012501,0,-0.1988336,0.021951504
0.79512501,0,0.053160068,0.095010161
0.800125,0,0.0019170783,0.032955304
0.805125,0,0.056488596,0.0076915771
0.81062502,0,-0.071484856,-0.090410568
0.81562501,0,0.075263046,-0.046300203
0.82062501,0,-0.087069683,-0.098284349
0.825625,0,0.086077869,-0.0005415366
0.830625,0,-0.03936718,-0.0080624213
0.83562499,0,0.09399955,0.08126612
0.84062499,0,0.038363285,0.078805514
0.84562498,0,-0.024938788,0.054001905
0.85062498,0,0.08087755,0.071563691
0.85562497,0,-0.0037523834,0.0059117032
0.86062503,0,0.013881991,-0.035255339
0.86662501,0,0.041564234,-0.05242176
0.87062502,0,0.020004194,-0.078668781
0.87562501,0,-0.025815135,-0.052885812
0.88062501,0,0.001112027,-0.046841338
0.885625,0,-0.14453109,0.18726981
0.890625,0,0.093481384,-0.061983362
0.895625,0,0.12963583,0.052068308
0.90062499,0,-0.047372244,0.07160563
0.90562499,0,0.045064751,0.004674423
0.91062498,0,0.030845594,0.041233797
0.91562498,0,-0.052793253,-0.0270613
0.92062497,0,0.065388151,-0.076030686
0.92562503,0,-0.03087656,-0.029492939
0.93062502,0,0.013249192,-0.081358865
0.93562502,0,0.039796431,-0.041401561
0.94062501,0,-0.034919508,0.026786894
0.94562501,0,0.021532055,0.013276249
0.950625,0,-0.010283151,0.063271329
0.95662498,0,0.0037134043,0.048700642
0.96062499,0,0.001016441,0.058458913
0.96562499,0,0.048396986,0.031254888
0.97062498,0,0.0052595348,0.0024528312
0.97562498,0,-0.026480872,-0.042698056
0.98162502,0,0.010563549,-0.056788374
0.98562503,0,-0.016498521,-0.040144823
0.99062502,0,-0.011515991,-0.032529581
0.99662501,0,0.010748953,0.0044251531
1.000625,0,-0.024260556,0.024093144
1.005625,0,0.014476047,0.046327505
1.0116251,0,-0.019651501,0.05700412
1.015625,0,0.035530973,0.045697346
1.020625,0,-0.042765204,0.027474994
1.025625,0,0.028790001,-0.0047746021
1.030625,0,0.019187856,-0.029580187
1.035625,0,0.020460045,-0.039963096
1.040625,0,0.05171736,-0.037422057
1.045625,0,-0.028319376,-0.044730529
1.051625,0,0.057850271,-0.0074780309
1.055625,0,-0.02490967,0.0061019789
1.060625,0,-0.00011694547,0.029227193
1.066625,0,0.030999539,0.040224317
1.0706249,0,-0.028530985,0.035199016
1.0756249,0,0.031786866,0.02320743
1.081625,0,-0.032429855,-0.0066629178
1.0856251,0,0.04966823,-0.019376585
1.091625,0,-0.023238603,-0.040765587
1.095125,0,-0.018069332,-0.043063439
1.100125,0,-0.01047646,-0.042246841
1.105125,0,0.026696563,-0.012738533
1.1101249,0,-0.019778704,0.0055163684
1.1151249,0,0.03465208,0.029093772
1.1201251,0,0.019551357,0.027379829
1.125625,0,0.014174081,0.03693961
1.130625,0,0.06364654,0.027744001
1.135625,0,-0.018004648,-0.011174407
1.140125,0,0.0067033493,-0.0084589692
1.145125,0,-0.056442868,-0.045842506
1.150125,0,0.13866611,-0.0016004047
1.155125,0,-0.30306378,0.10796942
1.160125,0,0.062697716,-0.027979726
1.165625,0,-0.03730141,0.028852226
1.170625,0,0.058888827,0.0094309002
1.175125,0,0.0095103392,-0.013425778
1.180125,0,-0.064747393,0.0013897279
1.185125,0,0.048334226,0.034119133
1.191125,0,0.035679337,0.0043809777
1.195125,0,0.0036554418,-0.024224237
1.200125,0,-0.016745642,-0.04741884
1.205125,0,0.0021482538,-0.032828584
1.210125,0,0.07653632,-0.001943703
1.215125,0,-0.0012182486,-0.015403295
1.221125,0,-0.023434445,-0.021416603
1.225125,0,-0.0087680146,0.022966376
1.230125,0,0.017077871,0.049178634
1.2351249,0,0.010791029,0.036392137
1.240625,0,0.07058204,0.023454586
1.245625,0,0.048065558,0.015544868
1.250625,0,-0.059544656,0.0053140065
1.2566251,0,0.014536103,-0.020446761
1.260625,0,-0.028375791,-0.021235673
1.265625,0,-0.048328284,-0.03716502
1.270625,0,0.029718403,-0.0073521128
1.275625,0,-0.1003276,0.052155744
1.280625,0,0.0071112933,0.0010007721
1.286625,0,-0.0084220385,0.012707412
1.290625,0,0.021173779,0.022828531
1.295625,0,0.0017639961,0.030557036
1.300625,0,-0.011118058,0.0096173249
1.305625,0,0.051638573,0.023874786
1.310125,0,0.0031459301,-0.025376845
1.315125,0,-0.015797054,-0.019436073
1.320125,0,-0.034061175,-0.046466924
1.325125,0,0.00011345067,-0.016574752
1.331125,0,0.01811057,-0.0010832695
1.335125,0,-0.055469953,-0.0088479761
1.340125,0,-0.042867627,0.0017490458
1.345125,0,0.0053307489,0.024810707
1.350125,0,0.057555728,0.0017799538
1.355125,0,-0.016897852,0.021805499
1.3601249,0,0.017207626,-0.0039623328
1.366125,0,0.00011990078,-0.0079579521
1.3701251,0,-0.00252427,-0.022436803
1.3751251,0,0.00066353718,-0.019111071
1.380125,0,-0.003355247,-0.012087603
1.385125,0,-0.0048208814,-0.0069734566
1.390125,0,0.0062275608,-0.0023639617
1.395125,0,-0.00088837999,0.011166084
1.400125,0,0.0062897373,0.0093935421
1.4061249,0,-0.031968635,0.013561445
1.410125,0,-0.0067987256,0.0074454146
1.415125,0,0.013632777,-0.0057360036
1.420125,0,0.026224041,-0.025557773
1.425125,0,-0.062631309,0.0034592268
1.430125,0,-0.061523583,0.0081174681
1.435125,0,0.0043018102,-0.006814504
1.441125,0,0.016357921,-0.014241383
1.445125,0,-0.047382053,0.024368281
1.450125,0,-0.0021254818,0.016726552
1.455125,0,0.036243308,-0.0010860029
1.460125,0,-0.028444218,0.018000102
1.465125,0,-0.032182828,0.020138796
1.471125,0,0.034516867,-0.0048985039
1.475125,0,-0.020395463,-0.00036228928
1.481125,0,-0.014917933,0.0021691171
1.4851249,0,-0.036842577,-0.023428652
1.4901249,0,0.062425308,-0.035062063
1.4951251,0,0.0083770137,0.0047634779
1.5001251,0,-0.017892966,0.023215519
1.505125,0,0.031389713,0.007384731
1.510125,0,-0.012380253,0.012476538
1.515125,0,-0.056571934,0.015867002
1.520125,0,-0.021325279,0.025252828
1.525125,0,-0.050838459,0.017677844
1.530125,0,0.01845324,-0.026721338
1.535125,0,-0.0093565267,-0.011037314
1.540625,0,-0.026464762,-0.011104777
1.545625,0,-0.020664059,0.015362134
1.550125,0,-0.012113961,0.00087494875
1.555125,0,0.0022179906,0.0064934655
1.560125,0,0.019332975,0.00038318802
1.566125,0,0.0076218508,0.012214919
1.570125,0,-0.012273175,0.0020757634
1.575125,0,-0.008377824,0.0028552497
1.580125,0,-0.0041415901,-0.0099773118
1.585125,0,0.025192309,-0.0027825811
1.590125,0,0.010028616,-0.013383077
1.595125,0,0.00097202306,-0.015886212
1.600125,0,0.022678651,-0.0074688853
1.605125,0,-0.0069544204,-0.0078830495
1.6101249,0,0.052850083,-0.0020035093
1.6151249,0,-0.046337903,0.035740413
1.6201251,0,0.004635789,0.0038444859
1.626125,0,-0.00060306414,-0.0014549631
1.630125,0,0.013964823,-0.012154933
1.635125,0,-0.013184993,0.00013284275
1.641125,0,0.00033936751,-0.0060341363
1.645125,0,-0.028708579,0.0024308795
1.650125,0,0.0036725984,-0.0026322515
1.655125,0,0.016210299,-0.0067460351
1.660125,0,-0.00079993572,-0.01329012
1.665125,0,-0.0046694446,0.003225564
1.670125,0,0.061503682,-0.024659211
1.675125,0,0.032142028,-0.011351672
1.680125,0,-0.013625434,0.0045372508
1.685125,0,0.04695449,-0.027206549
1.690125,0,0.038553525,-0.026531193
1.695125,0,-0.011576025,0.0077436832
1.700125,0,0.011484158,-0.016181527
1.705125,0,-0.031522851,0.01262116
1.710125,0,0.014191632,-0.0034617684
1.715125,0,0.031337179,-0.0096793864
1.720125,0,0.0079012541,0.012319818
1.725125,0,0.012349275,0.0033825282
1.730125,0,0.019823678,-0.01364222
1.7351249,0,-0.029806636,-0.0017743054
1.7401249,0,-0.021395691,0.0020779993
1.746125,0,-0.0010046248,0.00083204987
1.7501251,0,-0.043079752,0.011017615
1.755125,0,-0.035913978,-0.014916973
1.760125,0,0.04686854,-0.018681448
1.765125,0,-0.011355878,-0.0036218516
1.770125,0,0.016161557,-0.012744743
1.775125,0,-0.029038517,0.011295389
1.780125,0,0.0089779887,0.0008155948
1.785125,0,-0.072334342,0.045497399
1.790125,0,0.068484329,-0.012858519
1.795125,0,-0.039346993,0.022037882
1.800125,0,0.015550332,-0.0048429254
1.805625,0,-0.051959734,0.0071252077
1.810625,0,0.27362686,-0.099610284
1.815625,0,-0.008264049,0.01032452
1.821625,0,-0.024371479,-0.012999755
1.8256249,0,-0.018755307,0.0030396574
1.8306251,0,0.021087425,0.0037507734
1.836625,0,0.024077211,0.01130954
1.840625,0,-0.029094193,-0.00032614279
1.845625,0,0.0035199991,0.011070305
1.850625,0,0.0041018114,0.0045072748
1.855625,0,-0.013247668,-0.0059174504
1.860625,0,0.04618413,-0.033326488
1.8651249,0,-0.06373664,0.019737378
1.8701251,0,0.032504924,-0.020905431
1.875625,0,0.018568533,-0.0079770572
1.880625,0,-0.020977978,-0.00429805
1.885625,0,-0.022675222,0.012785445
1.890625,0,0.017668964,-0.0017154699
1.895625,0,0.015260761,-0.0016688341
1.900625,0,-0.015473809,0.00036417434
1.905625,0,-8.6646782E-0005,0.0010645096
1.910625,0,0.017155621,0.0028250332
1.915625,0,0.010218811,-0.00051348208
1.920625,0,-0.008446048,-0.0097255176
1.925625,0,-0.0042172614,-0.011196517
1.930125,0,-0.0087372949,-0.00056089874
1.935125,0,0.0073997364,-0.0029563946
1.940125,0,0.0071536978,-0.0063003092
1.946125,0,0.0034478949,0.0015666895
1.950125,0,0.0074065793,-0.0044386382
1.955125,0,0.0097072404,-0.0018192739
1.961125,0,-0.016639907,0.010391347
1.965125,0,-0.018554406,0.013570837
1.970125,0,-0.0014778726,-0.01142592
1.975125,0,0.0010431135,-0.0018147662
1.980125,0,-0.03321667,0.030067505
1.9851249,0,-0.0038441832,0.0020209725
1.990625,0,0.044186011,-0.021057643
1.995625,0,0.03751127,-0.019255176
2.0006249,0,0.017984556,-0.004737128
2.005625,0,0.057410143,-0.023373628
2.0106249,0,-0.016428199,0.0056634103
2.015625,0,-0.042002257,0.015127322
2.021625,0,-0.010940386,0.0022970883
2.025625,0,-0.01420989,0.0028310479
2.031625,0,-0.01743792,0.0022852174
2.035625,0,0.027311994,-0.010520176
2.041625,0,0.032033876,-0.0062522274
2.045625,0,-0.033485077,0.0079026949
2.0506251,0,0.0099143311,-0.0080165081
2.0566249,0,0.013876769,-0.0059241056
2.0606251,0,-0.0018909581,-0.0057180119
2.065625,0,-0.012944987,0.013320686
2.0706251,0,-0.013613509,0.00434855
2.0756249,0,0.00015936377,-9.1754788E-0005
2.0806251,0,0.045028217,-0.013155296
2.0866251,0,0.0070574442,-0.0017448963
2.090625,0,0.010751905,-0.0075480514
2.0956249,0,-0.013670552,-0.0041946135
2.100625,0,-0.0092094019,0.012079543
2.1056249,0,-0.033218134,0.011136726
2.110625,0,0.046756558,-0.011838377
2.1156249,0,-0.028955713,0.012425081
2.120625,0,-0.067355305,0.034516506
2.1256249,0,-0.034355666,0.016384359
2.130625,0,-0.011995181,0.0085184928
2.1366251,0,0.01441817,-0.0029039662
2.140625,0,-0.016056111,0.0068488494
2.146625,0,-0.0058453484,0.0010617301
2.150625,0,0.027627887,-0.0099650072
2.1551249,0,-0.008507601,0.0070686336
2.160625,0,-0.0052867075,0.0081046605
2.1656251,0,0.014913275,0.0059672794
2.170625,0,-0.047803625,0.030493423
2.1756251,0,-0.04054318,0.020155171
2.180625,0,0.097954139,-0.040160909
2.1856251,0,0.045843411,-0.015030718
2.190625,0,-0.093047418,0.034783185
2.1956251,0,-0.074446157,0.024528403
2.2016251,0,0.0039844401,-0.0028373594
2.2056251,0,-0.011434336,0.0017609496
2.2116251,0,-0.037280109,0.013576233
2.215625,0,0.05104981,-0.019947469
2.2206249,0,0.078904629,-0.031932268
2.225625,0,0.031028399,-0.014796047
2.2306249,0,-0.059439667,0.024262059
2.235625,0,-0.04874384,0.016180132
2.2406249,0,0.079101838,-0.031171054
2.245625,0,0.0026283232,-0.0018286929
2.2516251,0,-0.011918981,0.0039635231
2.255625,0,0.038416363,-0.0080256788
2.2606249,0,0.012383165,-0.0010578337
2.265625,0,0.024981026,0.010010006
2.2706251,0,0.022578608,0.0080561014
2.2766249,0,0.020569175,-0.0073432722
2.2806251,0,-0.056794275,0.01816709
2.285625,0,-0.046001516,0.0080550546
2.2906251,0,-0.039020445,0.0081088552
2.295625,0,-0.012536913,0.0084887184
2.3006251,0,-0.016938623,-0.0052574533
2.3066249,0,-0.0018976664,0.0038939989
2.3106251,0,-0.0050872308,-0.010856423
2.315625,0,-0.061291128,0.0020419301
2.3206251,0,-0.011991097,0.0077355793
2.3256249,0,-0.029596424,0.0077737393
2.3306251,0,-0.04524634,0.015426718
2.3356249,0,0.0095862737,0.00014203307
2.340625,0,0.10720199,-0.022353478
2.3456249,0,-0.049464341,0.028600505
2.3501251,0,0.050747097,-0.0098646777
2.355125,0,0.016791767,-0.0060426388
2.3601251,0,-0.082152672,-0.011263995
2.3651249,0,0.013540618,-0.017654644
2.3701251,0,-0.10444659,0.019536311
2.3751249,0,-0.04402069,0.00012867739
2.380125,0,0.057689298,0.0018369175
2.3861251,0,0.030175285,-0.006040012
2.390125,0,-0.057566255,-0.0022452723
2.3951249,0,-0.027443703,0.0039107827
2.400125,0,0.014961046,0.008741742
2.4061251,0,-0.052179556,-0.011462596
2.410125,0,-0.049844153,-0.023502247
2.4151249,0,-0.037143838,0.0060103447
2.420125,0,-0.0052187773,0.0027713231
2.426125,0,-0.016424291,-0.0073832506
2.430125,0,0.063276127,-0.0028571363
2.4351251,0,-0.012037293,-0.0024101019
2.440125,0,0.019006912,0.0042202421
2.4451251,0,0.0084680524,-0.012049852
2.4506249,0,-0.011201596,0.0052273748
2.4556251,0,0.025562106,0.0036861878
2.460125,0,-0.0021628912,-0.015812416
2.4651251,0,0.11419009,-0.0093319342
2.470125,0,0.086655855,-0.0071823271
2.4751251,0,-0.044046801,-0.035861645
2.4811251,0,-0.02900452,-0.02428866
2.4851251,0,0.0011163563,0.039582264
2.4906249,0,-0.014596643,0.038520701
2.495625,0,0.027872611,-0.023060881
2.5006249,0,-0.061973635,0.0067988844
2.505625,0,-0.041633487,0.014879325
2.5106249,0,-0.0043239496,0.0025188781
2.515625,0,-0.0037713638,0.0019521712
2.521625,0,-0.046667811,0.0097863358
2.525625,0,-0.025216173,0.030679736
2.5306251,0,-0.045480639,0.01068077
2.535625,0,-0.0049925521,0.0084488895
2.541625,0,0.041002057,-0.012551884
2.545625,0,-0.040668819,-0.014100275
2.5506251,0,0.0073544024,-0.022465652
2.555625,0,-0.0081935693,-0.029900275
2.5606251,0,0.012042311,-0.023763398
2.5666251,0,0.026355654,0.0136382
2.5706251,0,0.0032721655,0.0022524651
2.5756249,0,0.023022035,-0.0029463377
2.5806251,0,0.0092214234,0.00579804
2.5856249,0,0.0088180061,0.0038507346
2.591625,0,0.009228562,-0.0053942855
2.5956249,0,0.0049875206,-0.0012887665
2.600625,0,0.011581033,-0.0031318823
2.6056249,0,0.053567089,-0.0049403263
2.6101251,0,0.1085199,0.017138731
2.6156249,0,-0.056996543,0.011886597
2.6201251,0,-0.044779677,-0.0090830689
2.6251249,0,-0.020466888,9.8495584E-0005
2.630125,0,0.019217027,0.0016093235
2.6351249,0,0.0040096757,0.019280257
2.640125,0,0.0073896763,-0.025848579
2.6451249,0,0.090558767,-0.028431481
2.650125,0,0.022253947,0.027324744
2.6551249,0,-0.0070166867,0.020581191
2.660125,0,-0.048611142,0.01820193
2.6651249,0,-0.0367167,-0.0043766825
2.6711249,0,-0.01350959,0.002821977
2.6751249,0,-0.022674769,0.0079237251
2.6811249,0,-0.0086885793,-0.0053297463
2.6851251,0,0.025026854,-0.0027969466
2.690125,0,0.014845733,-0.0086964108
2.6951251,0,0.015187439,0.0086512435
2.7011249,0,0.058139857,0.012367474
2.7051251,0,-0.077670462,-0.0089771766
2.710125,0,0.0018360022,0.00016627197
2.7151251,0,0.0015120854,0.02086168
2.7206249,0,0.025228919,-0.00089302973
2.725625,0,-0.0074403281,0.006626308
2.7306249,0,0.00059892854,0.013845097
2.735625,0,-0.075987659,0.025243251
2.7406249,0,-0.0084849633,0.0052818842
2.745625,0,-0.0052927369,0.0045264089
2.7506249,0,0.0011297417,0.001107626
2.755625,0,0.027731551,-0.012626862
2.7606249,0,-0.037417844,0.0059205657
2.7666249,0,-0.0083877891,-0.0037124585
2.7706251,0,-0.045046855,-0.0033045437
2.7766249,0,0.0088010821,-0.0080718109
2.7806251,0,-0.0064689121,0.0070431931
2.785625,0,0.02310483,-0.0054601245
2.7901249,0,-0.0074329521,0.015707415
2.795625,0,0.027878752,-0.040186934
2.8006251,0,-0.022986999,-0.0067788069
2.805625,0,-0.024230346,-0.0029815312
2.811625,0,0.052364331,0.010247878
2.815625,0,0.0098287342,0.0051569077
2.8206251,0,-0.018020483,0.00079669681
2.8266251,0,-0.012883325,-0.014222728
2.8306251,0,0.0059716161,-0.0026316138
2.8356249,0,-0.018393453,-0.011151237
2.840625,0,-0.017678039,-0.0029332272
2.845125,0,-0.096822336,0.055438645
2.850625,0,0.0075934329,0.0012998014
2.855125,0,-0.026115736,0.0070240023
2.8601251,0,0.016350662,-0.0042486545
2.8651249,0,-0.011586335,0.0094283223
2.8701251,0,0.022312459,-0.0092756655
2.8751249,0,-0.026831686,0.0059047458
2.880125,0,0.034549158,-0.019640144
2.8851249,0,-0.0049378206,0.00014886986
2.890125,0,0.023254925,-0.0049182614
2.8951249,0,0.028119881,-0.0022271364
2.900125,0,-0.00064924359,0.007403736
2.9051249,0,-0.021068597,0.019287271
2.9111249,0,0.065009698,-0.017465735
2.9151249,0,0.00039804913,-0.0019254341
2.920125,0,0.019162523,-0.0023362953
2.9256251,0,0.0021612467,0.0034020757
2.930625,0,0.027365517,-0.013839918
2.9356251,0,0.0053205271,-0.0022960738
2.9416251,0,0.020494051,-0.0090630418
2.9456251,0,0.0024948609,-0.0020282399
2.9506249,0,0.011866556,-0.0067495801
2.956625,0,-0.0026299304,-0.00092186849
2.9606249,0,-0.0063548805,0.0090738786
2.965625,0,-0.034203555,0.018421497
2.9706249,0,-0.061477493,0.02361704
2.975625,0,-0.039121822,0.013100305
2.9816251,0,0.016541479,-0.0077848877
2.985625,0,-0.013029184,2.1623986E-0005
2.9906249,0,0.047298655,-0.018666856
2.995625,0,0.087742262,-0.03725107
3.0006249,0,0.013480269,-0.014732792
3.005625,0,-0.046344724,0.022019144
3.0116251,0,0.0073349932,-0.00066889683
3.015625,0,-0.0047682733,0.0034494728
3.0206251,0,-0.033434261,0.01215914
3.025625,0,-0.0069134287,0.00049621501
3.0306251,0,0.0034388304,-0.0018478499
3.0366249,0,-0.01008488,0.0075024278
3.0406251,0,-0.0011461367,-0.0073140627
3.045625,0,-0.0075686835,-0.011037319
3.0506251,0,0.0249837,-0.011316903
3.0566249,0,-0.010323238,0.0088884262
3.0606251,0,0.0065494915,0.011784671
3.065625,0,0.011572266,0.0024889724
3.071625,0,-0.010537314,0.012105885
3.0756249,0,0.026760392,-0.013199755
3.0801251,0,0.051813353,-0.016891537
3.085125,0,0.014577247,-0.0042232471
3.0901251,0,0.045249891,-0.027226273
3.095125,0,0.01347247,-0.011829436
3.1001251,0,-0.012571524,0.0084445439
3.1061251,0,0.025736226,-0.016258828
3.1101251,0,0.017201489,-0.0052754465
3.1151249,0,-0.042827297,0.0058825505
3.120625,0,0.022065021,-0.0095641157
3.1256249,0,-0.047686148,0.015412753
3.130625,0,0.035888541,-0.0085240519
3.1366251,0,-0.001216857,-0.0034392127
3.140625,0,0.0030096027,-0.0044510448
3.146625,0,-0.010311673,0.0013668074
3.150625,0,-0.027005142,0.004434234
3.1556251,0,-0.056605559,0.014128448
3.160625,0,0.0089162197,-0.0079791145
3.166625,0,-0.0091746906,0.00014430673
3.170625,0,0.0030758129,0.0019641358
3.176625,0,0.0065124487,-0.0020481022
3.180625,0,-0.0010797777,-0.0076612127
3.1856251,0,-0.0038414893,-0.0045036697
3.1916251,0,0.0010305349,-0.0036686766
3.1956251,0,0.0090490254,-0.0078659747
3.2006249,0,0.010379924,0.0038169506
3.2056251,0,0.01253058,0.0059209657
3.2106249,0,-0.021376267,0.010698678
3.215625,0,0.018452484,-0.0076747723
3.2206249,0,0.022350706,-0.015030941
