XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:x(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection X (a:y(Car body)),
0.59587502,0.00659208,0.079606637,-0.15374759
0.60087502,0.0068154307,0.02092869,-0.0838449
0.60537499,0.0068284809,-0.7974354,-0.35409302
0.61037499,0.0075936937,0.069165982,0.064265698
0.61537498,0.0083615845,0.021760026,0.15683912
0.62037498,0.0090767751,0.041836649,0.17376359
0.62537497,0.010095797,0.074522384,0.13728012
0.63137501,0.011275967,0.018198863,0.091717593
0.63537502,0.01314367,-0.5533939,-0.24879162
0.64087498,0.01282044,0.10748316,-0.043363899
0.64587498,0.014457398,0.090589248,-0.054106269
0.65087497,0.014607253,0.11181255,-0.06870503
0.65687501,0.015253292,0.10491379,-0.0075630974
0.66087502,0.011658642,-0.40929094,-0.1761391
0.66587502,0.015381515,0.15069897,0.10754856
0.67087501,0.014599948,0.11470859,0.17315336
0.67587501,0.013913325,0.37711701,0.27433169
0.68037498,0.022004161,0.0037722879,0.098609857
0.68537498,0.003338007,-0.15478306,0.0051748911
0.69087499,0.010898828,0.084253937,0.0099065965
0.69587499,0.0099841524,0.055885281,-0.032635991
0.70087498,0.0074216388,0.038023643,-0.077550411
0.70687503,0.0082687009,0.010091,-0.094059378
0.71087497,0.0069259973,-0.027486822,-0.076430559
0.71587503,0.0032274465,-0.1509341,-0.086322665
0.72087502,0.0065219179,-0.04353153,0.027303269
0.72687501,0.0059867897,-0.055379506,0.073059998
0.73087502,0.0050079245,-0.055085544,0.080977745
0.73587501,0.0027819041,-0.079859495,0.070703767
0.74187499,0.00028690315,-0.044906106,0.02187595
0.745875,-0.0036083912,-0.56627905,-0.23090725
0.750875,-0.0069226511,-0.019098399,-0.061999001
0.75687498,-0.0091642849,-0.0087182447,-0.091029674
0.76087499,-0.015631376,0.023157591,-0.10629269
0.76587498,-0.0160999,-0.17812821,-0.17012002
0.77037501,-0.026815195,0.064374335,-0.030994775
0.77537501,-0.027689748,0.092643954,0.026228152
0.780375,-0.044688236,-0.19563855,-0.053642433
0.785375,-0.039634731,0.1321559,0.11572979
0.79037499,-0.042453643,0.04836202,0.085687347
