XDistance (m) (Distance  m)mm Left rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Right rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Left rail  horizontal irregularities (mm);Distance (m) (Distance  m)mm Right rail  horizontal irregularities (mm);
847.5;0.02354979;0.015741896;0.039558601;0.034660317
847.59998;0.023344768;0.0154233;0.039545517;0.034179825
847.70001;0.022904605;0.015161959;0.039300967;0.033793312
847.79999;0.022304643;0.014882632;0.03882695;0.033411138
847.90002;0.021638134;0.014503757;0.038148601;0.032940209
848;0.020998428;0.013964524;0.03731567;0.032302108
848.09998;0.020463601;0.013246349;0.036397636;0.031447943
848.20001;0.020087015;0.012382009;0.03547309;0.03036733
848.29999;0.019895216;0.011449652;0.03461599;0.029090293
848.40002;0.0198924;0.010553663;0.033882916;0.027682476
848.5;0.020068873;0.009798353;0.033304874;0.026234781
848.59998;0.020410083;0.009262279;0.032886162;0.024849802
848.70001;0.020903237;0.008980513;0.032610096;0.02362714
848.79999;0.021539696;0.00893925;0.032449339;0.022649784
848.90002;0.022313166;0.00908335;0.032376956;0.0219731
849;0.023215095;0.009333463;0.03237443;0.021617725
849.09998;0.024229612;0.009607165;0.032433987;0.021566942
849.20001;0.025330193;0.009837971;0.032554969;0.021768954
849.29999;0.026479412;0.009987634;0.032736197;0.0221439
849.40002;0.027631819;0.010049781;0.032967806;0.022594992
849.5;0.028738879;0.010045774;0.033226304;0.023022493
849.59998;0.029754099;0.01001559;0.03347538;0.023338621
849.70001;0.030636726;0.010007313;0.033672947;0.023481112
849.79999;0.031352952;0.010067977;0.033782352;0.023422835
849.90002;0.031874746;0.010237096;0.033784278;0.023175642
850;0.032177404;0.010542594;0.033685144;0.022787321
850.09998;0.032237414;0.010997927;0.033518948;0.022332132
850.20001;0.03203224;0.01159936;0.033341438;0.021896645
850.29999;0.031542689;0.012323046;0.033217892;0.021563716
850.40002;0.030757695;0.01312305;0.033207826;0.021397945
850.5;0.029680096;0.013932096;0.033350706;0.021435367
850.59998;0.028331451;0.014666883;0.033656366;0.02167917
850.70001;0.02675385;0.015238633;0.034102295;0.022101631
850.79999;0.025007393;0.015567772;0.034637839;0.022651058
850.90002;0.023163065;0.015599702;0.035193559;0.023261562
851;0.021292059;0.015317515;0.035692822;0.023863211
851.09998;0.019453669;0.014747672;0.036062784;0.024390707
851.20001;0.017684417;0.013956183;0.036242679;0.024789698
851.29999;0.015991095;0.013035542;0.036188729;0.025020853
851.40002;0.01434961;0.012085265;0.035876151;0.025062531
851.5;0.012710423;0.011191047;0.035299432;0.024913019
851.59998;0.011009973;0.010408025;0.034471817;0.024592519
851.70001;0.009186158;0.009752538;0.033424493;0.024144471
851.79999;0.007194978;0.009204224;0.032204844;0.023634624
851.90002;0.005024973;0.008717286;0.03087303;0.023146406
852;0.002706281;0.008237111;0.029496003;0.022771396
852.09998;0.000311933;0.007717065;0.0281392;0.022595361
852.20001;-0.002049582;0.007130654;0.02685713;0.022681773
852.29999;-0.004249794;0.006476031;0.025685234;0.023056414
852.40002;-0.006161295;0.005772462;0.024635578;0.02369722
852.5;-0.007680493;0.005050926;0.023698304;0.024532892
852.59998;-0.008747477;0.004342632;0.022849079;0.025451964
852.70001;-0.009358654;0.003669442;0.022060839;0.026321385
852.79999;-0.009569035;0.003039031;0.021316325;0.027010869
852.90002;-0.009483168;0.002445689;0.020617301;0.02741752
853;-0.009236191;0.001875524;0.019986931;0.027484709
853.09998;-0.008968844;0.001313527;0.019463861;0.027210541
853.20001;-0.008801809;0.000749611;0.019089231;0.02664391
853.29999;-0.008815022;0.000181583;0.018890396;0.025869405
853.40002;-0.009036537;-0.000385497;0.018866666;0.024985418
853.5;-0.009443194;-0.000942606;0.01898206;0.024081282
853.59998;-0.009972463;-0.001480743;0.019168261;0.023219462
853.70001;-0.010542115;-0.001993641;0.019337682;0.022426859
853.79999;-0.011072493;-0.002478024;0.019403346;0.021696515
853.90002;-0.011505815;-0.002931557;0.019299813;0.020997893
854;-0.011817984;-0.003349796;0.018998738;0.0202916
854.09998;-0.012020668;-0.003723997;0.018514171;0.019543611
854.20001;-0.012154147;-0.004041343;0.017895736;0.018734815
854.29999;-0.012273833;-0.004288078;0.0172117;0.017863801
854.40002;-0.012434738;-0.004454692;0.016527204;0.016943246
854.5;-0.012678196;-0.004541219;0.01588455;0.015992491
854.59998;-0.013023935;-0.004560403;0.015291833;0.015029798
854.70001;-0.013468569;-0.004537075;0.014723504;0.014067386
854.79999;-0.013989566;-0.004503456;0.014132635;0.013110866
854.90002;-0.014552351;-0.004491651;0.01347065;0.012162586
855;-0.015117753;-0.004525736;0.012707876;0.01122679
855.09998;-0.015647728;-0.004616243;0.011847804;0.010313699
855.20001;-0.016108487;-0.004758927;0.010929971;0.009440182
855.29999;-0.016471624;-0.004938357;0.01002004;0.00862623
855.40002;-0.016714603;-0.005134957;0.009189886;0.007888341
855.5;-0.016822066;-0.005332973;0.008493821;0.007232416
855.59998;-0.016788544;-0.005526335;0.007948595;0.006649338
855.70001;-0.016621968;-0.005720328;0.007523733;0.006115526
855.79999;-0.016346291;-0.005928495;0.007145689;0.005599011
855.90002;-0.016001161;-0.006166148;0.006715071;0.005069399
856;-0.015637154;-0.006443183;0.006132119;0.004508412
856.09998;-0.015306583;-0.006759299;0.005323129;0.003917127
856.20001;-0.015051654;-0.007103798;0.004260225;0.003316993
856.29999;-0.014893219;-0.007460336;0.002968932;0.002743679
856.40002;-0.014823846;-0.007814925;0.001521707;0.002235451
856.5;-0.014808057;-0.008163905;1.97E-05;0.001819764
856.59998;-0.014790631;-0.008518248;-0.001431633;0.001502705
856.70001;-0.01471127;-0.008901573;-0.002745992;0.001265147
856.79999;-0.014521729;-0.009341398;-0.003872377;0.001067342
856.90002;-0.014200351;-0.009855731;-0.004800116;0.000860869
857;-0.013759465;-0.010439179;-0.005552515;0.000604253
857.09998;-0.013243113;-0.011053569;-0.006172254;0.000277199
857.20001;-0.012715545;-0.011627202;-0.006703778;-0.000111315
857.29999;-0.012243835;-0.012064571;-0.007178312;-0.000523939
857.40002;-0.011879946;-0.012265272;-0.007605659;-0.000904778
857.5;-0.011647709;-0.012147854;-0.007974383;-0.001195198
857.59998;-0.011538692;-0.011672592;-0.008259095;-0.001350691
857.70001;-0.011518016;-0.010857021;-0.008431446;-0.001353588
857.79999;-0.011537933;-0.009779732;-0.00847063;-0.001217849
857.90002;-0.011554573;-0.008570907;-0.008369915;-0.00098473
858;-0.011542289;-0.007391357;-0.008137526;-0.000711108
858.09998;-0.011501084;-0.006404736;-0.007792463;-0.000454496
858.20001;-0.011455;-0.005748992;-0.007357563;-0.000259585
858.29999;-0.011442535;-0.005513141;-0.006852941;-0.000150367
858.40002;-0.01150276;-0.005723782;-0.006292384;-0.00012973
858.5;-0.011662113;-0.006343364;-0.005683857;-0.000185813
858.59998;-0.011926316;-0.00727962;-0.005033391;-0.000302131
858.70001;-0.012279789;-0.008403478;-0.00435017;-0.000467429
858.79999;-0.012692157;-0.009571604;-0.003650036;-0.000681623
858.90002;-0.013128791;-0.010649498;-0.002955254;-0.000955829
859;-0.013561098;-0.011531616;-0.002289921;-0.001306744
859.09998;-0.013972569;-0.012155901;-0.001672264;-0.001747679
859.20001;-0.01435853;-0.012511048;-0.001106662;-0.002279655
859.29999;-0.014720174;-0.012635721;-0.000578746;-0.002885823
859.40002;-0.01505596;-0.012609757;-5.63E-05;-0.003531183
859.5;-0.015354603;-0.012538262;0.000503254;-0.004167746
859.59998;-0.015593467;-0.012530555;0.001139793;-0.004743482
859.70001;-0.015744073;-0.012677133;0.00187587;-0.00521239
859.79999;-0.015783524;-0.013028792;0.002704411;-0.005542959
859.90002;-0.015708052;-0.013582522;0.003583206;-0.005723176
860;-0.015543419;-0.014278146;0.004438459;-0.005761531
860.09998;-0.015347534;-0.015008009;0.005177187;-0.005684702
860.20001;-0.015202815;-0.015639108;0.005705557;-0.005533241
860.29999;-0.015199305;-0.016043892;0.005948296;-0.00535654
860.40002;-0.015412774;-0.0161331;0.005863867;-0.00520772
860.5;-0.015884094;-0.015882527;0.005451194;-0.005138408
860.59998;-0.016606255;-0.015346231;0.004746163;-0.005192916
860.70001;-0.017523296;-0.014651336;0.003809133;-0.005401661
860.79999;-0.018541958;-0.013973968;0.002707352;-0.005774421
860.90002;-0.019553021;-0.013500808;0.001497646;-0.006295066
861;-0.020456407;-0.01338491;0.0002146;-0.00692006
861.09998;-0.021183094;-0.0137066;-0.001132356;-0.007582793
861.20001;-0.021707935;-0.014449544;-0.002552342;-0.00820456
861.29999;-0.022050509;-0.015498867;-0.004059303;-0.008710936
861.40002;-0.022264615;-0.016662631;-0.00565585;-0.009050096
861.5;-0.022420334;-0.017712157;-0.007320129;-0.00920814
861.59998;-0.022584371;-0.01843174;-0.009000287;-0.009216462
861.70001;-0.02280423;-0.018665735;-0.010618798;-0.009147815
861.79999;-0.023100015;-0.018351622;-0.01208588;-0.009100851
861.90002;-0.023464879;-0.017531227;-0.013318392;-0.009176428
862;-0.02387234;-0.016337762;-0.014258934;-0.009451915
862.09998;-0.024287051;-0.014962568;-0.014889678;-0.009960869
862.20001;-0.024675086;-0.013610255;-0.015236966;-0.010684326
862.29999;-0.025010988;-0.012453668;-0.015365329;-0.011556637
862.40002;-0.025280412;-0.011599534;-0.015362529;-0.012484392
862.5;-0.025479143;-0.011072564;-0.015319688;-0.013372713
862.59998;-0.025610229;-0.010820634;-0.015311723;-0.01415068
862.70001;-0.02568106;-0.010738265;-0.015383004;-0.014787776
862.79999;-0.025701433;-0.010701157;-0.015541423;-0.015295961
862.90002;-0.025682416;-0.010602182;-0.01576158;-0.015716759
863;-0.025635017;-0.010379547;-0.015995294;-0.016097778
863.09998;-0.025567539;-0.010030447;-0.016185865;-0.016466869
863.20001;-0.025481349;-0.009607704;-0.016281888;-0.016813168
863.29999;-0.02536612;-0.009201463;-0.016247131;-0.017082328
863.40002;-0.025196787;-0.008911638;-0.016064543;-0.017188579
863.5;-0.024934858;-0.008818917;-0.015734479;-0.017040625
863.59998;-0.024535846;-0.008961914;-0.015268874;-0.016573457
863.70001;-0.023962557;-0.009326121;-0.014684089;-0.015775779
863.79999;-0.023201436;-0.009846908;-0.013995016;-0.014703643
863.90002;-0.022277124;-0.010425247;-0.013212211;-0.01347496
864;-0.02125968;-0.010951702;-0.012342405;-0.012245535
864.09998;-0.020260101;-0.011332433;-0.011391468;-0.011173141
864.20001;-0.019412857;-0.011510866;-0.010368112;-0.010380146
864.29999;-0.018848153;-0.011480076;-0.009286444;-0.009925766
864.40002;-0.018660305;-0.011283387;-0.008166144;-0.009796174
864.5;-0.018880848;-0.011003759;-0.007030006;-0.009915157
864.59998;-0.019464465;-0.010744895;-0.005899606;-0.010171633
864.70001;-0.020292975;-0.010608844;-0.0047906;-0.010455223
864.79999;-0.021197723;-0.010675226;-0.003709277;-0.010688738
864.90002;-0.021995392;-0.010986323;-0.002651622;-0.01084774
865;-0.022528287;-0.011540732;-0.001605356;-0.010961674
865.09998;-0.022698501;-0.012295992;-0.000554521;-0.011097067
865.20001;-0.022486951;-0.013178734;0.000514491;-0.011328975
865.29999;-0.021952463;-0.014099504;0.001606925;-0.011710355
865.40002;-0.021211671;-0.014968895;0.002715046;-0.012249376
865.5;-0.020405773;-0.015711894;0.003815892;-0.012901737
865.59998;-0.019663608;-0.016278287;0.004871876;-0.013580078
865.70001;-0.019071057;-0.016648157;0.005834149;-0.01417698
865.79999;-0.018654384;-0.016832463;0.006648263;-0.014593963
865.90002;-0.018380729;-0.016869549;0.007261378;-0.01476733
866;-0.018174043;-0.016818631;0.007630016;-0.014683158
866.09998;-0.017940665;-0.016751437;0.007727285;-0.014377546
866.20001;-0.017596832;-0.016742835;0.007548308;-0.013923092
866.29999;-0.017090978;-0.016861474;0.007112631;-0.013406673
866.40002;-0.016416132;-0.017161252;0.006462679;-0.012905962
866.5;-0.015611211;-0.017674776;0.005657873;-0.012471777
866.59998;-0.014753129;-0.018410012;0.004764958;-0.012120868
866.70001;-0.013943529;-0.019351106;0.003846175;-0.011840008
866.79999;-0.013294092;-0.020463813;0.002947815;-0.011598566
866.90002;-0.012913369;-0.021704983;0.002092116;-0.011364366
867;-0.012896142;-0.023034308;0.001275031;-0.011117242
867.09998;-0.013315035;-0.024425674;0.000471178;-0.010856155
867.20001;-0.014213482;-0.025874944;-0.000354707;-0.010598476
867.29999;-0.015599687;-0.027401637;-0.001232531;-0.010372831
867.40002;-0.017442413;-0.029043224;-0.002172133;-0.010208959
867.5;-0.019670475;-0.030842902;-0.003153884;-0.010128547
867.59998;-0.022177985;-0.03283364;-0.004128354;-0.010140141
867.70001;-0.024836387;-0.035022818;-0.005026478;-0.010239275
867.79999;-0.027512232;-0.037382014;-0.005778514;-0.010412944
867.90002;-0.030087344;-0.039845459;-0.006337037;-0.010646088
868;-0.032476276;-0.042318411;-0.006697341;-0.010927356
868.09998;-0.034636028;-0.044693857;-0.006908498;-0.011252147
868.20001;-0.036564626;-0.046873536;-0.007070381;-0.011622299
868.29999;-0.03828869;-0.048787769;-0.007315631;-0.012043187
868.40002;-0.039843637;-0.050408848;-0.007779895;-0.012519885
868.5;-0.041253168;-0.051754449;-0.008567515;-0.013054015
868.59998;-0.042515427;-0.052880548;-0.009721741;-0.01364224
868.70001;-0.04360133;-0.053866226;-0.01120809;-0.01427622
868.79999;-0.044466674;-0.05479515;-0.0129163;-0.014943111
868.90002;-0.045074537;-0.055739082;-0.014681531;-0.015625432
869;-0.045420591;-0.056747943;-0.016320165;-0.016299766
869.09998;-0.045551736;-0.057848152;-0.017671404;-0.016934792
869.20001;-0.045570236;-0.059048392;-0.018634042;-0.017490216
869.29999;-0.045619503;-0.060348999;-0.019188944;-0.017918553
869.40002;-0.045853838;-0.061750323;-0.019401543;-0.018171178
869.5;-0.046400215;-0.063256122;-0.019403987;-0.01820858
869.59998;-0.047323469;-0.064870074;-0.019362045;-0.018012794
869.70001;-0.04860618;-0.066586703;-0.019435719;-0.017598456
869.79999;-0.050150666;-0.068380564;-0.019743867;-0.017018288
869.90002;-0.051803816;-0.070198961;-0.020341542;-0.016359754
870;-0.053398337;-0.071962461;-0.02121493;-0.015732054
870.09998;-0.054798648;-0.073575482;-0.022293676;-0.015245521
870.20001;-0.055937618;-0.074945226;-0.023475831;-0.014988462
870.29999;-0.056833036;-0.076004423;-0.024657656;-0.01500783
870.40002;-0.057578672;-0.076731004;-0.025759956;-0.015299778
870.5;-0.05831252;-0.077158242;-0.02674439;-0.015813507
870.59998;-0.059172101;-0.077371277;-0.027616709;-0.016468097
870.70001;-0.06025048;-0.077490002;-0.028417669;-0.017177731
870.79999;-0.061566442;-0.077642128;-0.029205702;-0.017878089
870.90002;-0.063057736;-0.077933893;-0.030037034;-0.0185457
871;-0.06459894;-0.078426108;-0.030948807;-0.019204088
871.09998;-0.066037953;-0.079122372;-0.031949062;-0.0199144
871.20001;-0.067239366;-0.07997217;-0.033014994;-0.020753082
871.29999;-0.068121336;-0.080887392;-0.034098525;-0.021783369
871.40002;-0.068674974;-0.081766874;-0.035136577;-0.023029581
871.5;-0.068961255;-0.082521558;-0.036063056;-0.024462638
871.59998;-0.069087595;-0.083093114;-0.036819894;-0.02600182
871.70001;-0.069172651;-0.083461687;-0.037365641;-0.027532913
871.79999;-0.069310889;-0.08364182;-0.037681125;-0.028937686
871.90002;-0.069548175;-0.083669849;-0.037772201;-0.030125916
872;-0.069875211;-0.083588272;-0.037669886;-0.031060342
872.09998;-0.070239529;-0.083432823;-0.037427709;-0.031766787
872.20001;-0.070570886;-0.083226591;-0.037115984;-0.032326255
872.29999;-0.070810698;-0.082982093;-0.036812767;-0.032851126
872.40002;-0.070935532;-0.082709149;-0.036591928;-0.033452477
872.5;-0.070967361;-0.082424268;-0.036509916;-0.034208059
872.59998;-0.070968017;-0.082156658;-0.03659381;-0.035140175
872.70001;-0.071020521;-0.081947617;-0.036833886;-0.036209635
872.79999;-0.071204364;-0.081842951;-0.037183549;-0.037327006
872.90002;-0.071572758;-0.081880614;-0.037567884;-0.038377255
873;-0.072139017;-0.082078196;-0.037899937;-0.039250113
873.09998;-0.072875336;-0.082424849;-0.038101397;-0.039867274
873.20001;-0.073723018;-0.082880728;-0.038122483;-0.040198781
873.29999;-0.074609518;-0.083384253;-0.037955608;-0.040264897
873.40002;-0.075466298;-0.08386486;-0.03763853;-0.040124085
873.5;-0.076241523;-0.084256373;-0.037245426;-0.039852064
873.59998;-0.076904945;-0.084506683;-0.036867697;-0.039519019
873.70001;-0.07744506;-0.084580638;-0.036589473;-0.03917218
873.79999;-0.077861741;-0.084455818;-0.036464456;-0.038828544
873.90002;-0.078158833;-0.084114268;-0.03650073;-0.038478974
874;-0.07834056;-0.083534695;-0.036657955;-0.038101085
874.09998;-0.078413449;-0.082689844;-0.036857944;-0.037675723
874.20001;-0.078392707;-0.081551895;-0.0370057;-0.037201073
874.29999;-0.078309543;-0.080105148;-0.03701498;-0.036699604
874.40002;-0.078215338;-0.078362323;-0.036831126;-0.03621592
874.5;-0.078178994;-0.076378025;-0.036444765;-0.035806604
874.59998;-0.078276619;-0.07425341;-0.03589265;-0.035525851
874.70001;-0.07857538;-0.072128117;-0.035245914;-0.035411905
874.79999;-0.079115756;-0.070159271;-0.034589417;-0.03547854
874.90002;-0.079897746;-0.068492211;-0.033998597;-0.035714027
875;-0.080875494;-0.067230165;-0.033520605;-0.036087271
875.09998;-0.081962727;-0.066411622;-0.033165067;-0.03655833
875.20001;-0.083048172;-0.066002086;-0.032906674;-0.037089329
875.29999;-0.084016964;-0.065902665;-0.032698177;-0.037651762
875.40002;-0.084772699;-0.065973595;-0.032489367;-0.038227953
875.5;-0.085254356;-0.066065744;-0.032245796;-0.038806461
875.59998;-0.085444093;-0.066051468;-0.031961519;-0.039373826
875.70001;-0.085364588;-0.065846339;-0.031661939;-0.039906207
875.79999;-0.08506754;-0.065416619;-0.031396188;-0.040364813
875.90002;-0.084617212;-0.064772204;-0.031221531;-0.040697657
876;-0.084073819;-0.063948885;-0.031184733;-0.040848047
876.09998;-0.083481014;-0.062987395;-0.0313063;-0.040767964
876.20001;-0.082860291;-0.061917014;-0.031572323;-0.040432479
876.29999;-0.08221259;-0.060749117;-0.031936698;-0.039850987
876.40002;-0.08152546;-0.059482336;-0.032333147;-0.039071593
876.5;-0.080782965;-0.058116533;-0.032693766;-0.038176898
876.59998;-0.079974867;-0.056669295;-0.032968882;-0.037271917
876.70001;-0.079102635;-0.055187963;-0.033142515;-0.036466833
876.79999;-0.078180715;-0.053751402;-0.033238959;-0.035858884
876.90002;-0.077233277;-0.052459624;-0.033318266;-0.035517506
877;-0.076287672;-0.051413488;-0.033461481;-0.035476051
877.09998;-0.075366594;-0.05069036;-0.033749055;-0.035731189
877.20001;-0.074481204;-0.050323285;-0.034237947;-0.036249302
877.29999;-0.07362701;-0.050290264;-0.034943104;-0.036977138
877.40002;-0.072783805;-0.050517354;-0.035828374;-0.037853576
877.5;-0.071919739;-0.05089476;-0.03680934;-0.038819239
877.59998;-0.070999153;-0.05130164;-0.037767932;-0.03982209
877.70001;-0.06999252;-0.051632471;-0.038575668;-0.040818628
877.79999;-0.068886317;-0.05181779;-0.039120272;-0.041771755
877.90002;-0.067690492;-0.051834293;-0.039329521;-0.042647403
878;-0.066441067;-0.05170241;-0.039186776;-0.043412175
878.09998;-0.065196328;-0.051473416;-0.03873454;-0.044033419
878.20001;-0.064026505;-0.051210981;-0.038065374;-0.044482343
878.29999;-0.062998191;-0.050972883;-0.037302233;-0.04473906
878.40002;-0.062156841;-0.050798118;-0.036573134;-0.044798028
878.5;-0.061511397;-0.05070198;-0.035986047;-0.044671703
878.59998;-0.061025664;-0.050679125;-0.035609804;-0.044390786
878.70001;-0.060619581;-0.0507119;-0.035465129;-0.044000514
878.79999;-0.060181741;-0.050780125;-0.035527162;-0.043553457
878.90002;-0.059591375;-0.050868656;-0.035737846;-0.043100554
879;-0.058745392;-0.050970268;-0.03602422;-0.042682622
879.09998;-0.057584248;-0.051083781;-0.036317244;-0.042324424
879.20001;-0.056110069;-0.05120882;-0.036566194;-0.04203286
879.29999;-0.054391935;-0.051339872;-0.036745317;-0.041799646
879.40002;-0.052556399;-0.051462404;-0.036851928;-0.041607708
879.5;-0.050764728;-0.051552694;-0.036897797;-0.041439481
879.59998;-0.049182061;-0.051581774;-0.036897682;-0.041285053
879.70001;-0.047945701;-0.051522501;-0.036859311;-0.041147985
879.79999;-0.047139958;-0.051357731;-0.036778409;-0.04104732
879.90002;-0.046783276;-0.051087398;-0.036640417;-0.041015413
880;-0.04683017;-0.050732732;-0.036428049;-0.041091982
880.09998;-0.047186673;-0.050336614;-0.036131755;-0.041315798
880.20001;-0.047734752;-0.049959894;-0.035759155;-0.041715816
880.29999;-0.048359357;-0.049674351;-0.03533984;-0.042303719
880.40002;-0.048971649;-0.049553331;-0.034923419;-0.043069307
880.5;-0.049523648;-0.049661413;-0.034571134;-0.043979801
880.59998;-0.050012112;-0.050044518;-0.034343354;-0.044983003
880.70001;-0.050472446;-0.050722014;-0.034286875;-0.046013892
880.79999;-0.050965503;-0.051682338;-0.034425814;-0.047003351
880.90002;-0.051561236;-0.052883282;-0.034758724;-0.047887418
881;-0.052323058;-0.054257851;-0.035262525;-0.048615433
881.09998;-0.053295493;-0.055725142;-0.035901558;-0.049155749
881.20001;-0.05449646;-0.05720479;-0.036638401;-0.049497828
881.29999;-0.055914249;-0.058632124;-0.037442826;-0.049650725
881.40002;-0.057508565;-0.059970461;-0.038295943;-0.049638186
881.5;-0.059214957;-0.061217088;-0.039188642;-0.049491741
881.59998;-0.06095219;-0.062400833;-0.040115327;-0.04924323
881.70001;-0.062632203;-0.063571103;-0.041065846;-0.048918705
881.79999;-0.064172074;-0.064780861;-0.042018991;-0.048535082
881.90002;-0.065506779;-0.066068113;-0.042940363;-0.048100431
882;-0.066600621;-0.067441188;-0.043785769;-0.047617786
882.09998;-0.067454562;-0.068872489;-0.044509321;-0.047091536
882.20001;-0.068107083;-0.070303254;-0.045073505;-0.046534352
882.29999;-0.068626888;-0.07165812;-0.045458067;-0.045972798
882.40002;-0.069097981;-0.072865538;-0.045664683;-0.045449484
882.5;-0.069599882;-0.073877618;-0.045715962;-0.045020625
882.59998;-0.070187554;-0.074683018;-0.045649402;-0.04474904
882.70001;-0.070876293;-0.075308219;-0.045508422;-0.044693671
882.79999;-0.071636036;-0.075806081;-0.045333579;-0.044897825
882.90002;-0.072397374;-0.076235019;-0.045156825;-0.0453788
883;-0.073068045;-0.076635011;-0.045000229;-0.046121359
883.09998;-0.073555738;-0.077008188;-0.044878878;-0.047076713
883.20001;-0.073791042;-0.07731083;-0.044805989;-0.048167612
883.29999;-0.073743939;-0.07745976;-0.044797353;-0.049298588
883.40002;-0.073429257;-0.077352099;-0.044872645;-0.050369591
883.5;-0.072899662;-0.076892674;-0.045052193;-0.051290274
883.59998;-0.072228447;-0.0760208;-0.045349956;-0.05199255
883.70001;-0.071487695;-0.074728422;-0.045764938;-0.052439149
883.79999;-0.07072854;-0.073063917;-0.046274409;-0.052627116
883.90002;-0.069969535;-0.071120486;-0.046831999;-0.052585911
884;-0.069196612;-0.069013029;-0.047372475;-0.052370887
884.09998;-0.068374045;-0.066850655;-0.047822941;-0.052053351
884.20001;-0.067462578;-0.064713493;-0.048118047;-0.051708866
884.29999;-0.066438504;-0.062640734;-0.048215445;-0.051405415
884.40002;-0.06530723;-0.060632844;-0.048107345;-0.051193062
884.5;-0.064107016;-0.058666285;-0.047824882;-0.051096365
884.59998;-0.062901579;-0.056714844;-0.047433861;-0.051110588
884.70001;-0.061764125;-0.054769702;-0.047022715;-0.051202454
884.79999;-0.06075798;-0.052851111;-0.046685398;-0.051315527
884.90002;-0.05992002;-0.05100761;-0.046503037;-0.051379636
885;-0.059252113;-0.04930345;-0.046528436;-0.051323026
885.09998;-0.058722991;-0.047798779;-0.046776541;-0.051085223
885.20001;-0.05827973;-0.04652996;-0.047222491;-0.05062804
885.29999;-0.057864938;-0.045497015;-0.047807202;-0.049942367
885.40002;-0.057434242;-0.044662762;-0.048449054;-0.049049139
885.5;-0.056968763;-0.043963827;-0.049059067;-0.047993988
885.59998;-0.056479204;-0.043329589;-0.049556758;-0.046836738
885.70001;-0.056000888;-0.042702205;-0.049883861;-0.045638371
885.79999;-0.055581883;-0.042050585;-0.050013538;-0.044448711
885.90002;-0.055268243;-0.04137335;-0.049953572;-0.043298203
886;-0.055090964;-0.040690117;-0.049742818;-0.04219595
886.09998;-0.055058096;-0.040024564;-0.049441412;-0.041134365
886.20001;-0.055153694;-0.039386146;-0.049116351;-0.040098861
886.29999;-0.055343039;-0.038757987;-0.048825093;-0.039079096
886.40002;-0.055581715;-0.038096387;-0.048600808;-0.038078006
886.5;-0.055825621;-0.037343502;-0.04844271;-0.037115
886.59998;-0.056039114;-0.036449648;-0.04831446;-0.036221914
886.70001;-0.056199711;-0.035398021;-0.048151758;-0.035432424
886.79999;-0.056299228;-0.034223069;-0.047877971;-0.03476806
886.90002;-0.056342158;-0.033015069;-0.047424402;-0.034225486
887;-0.05634287;-0.031907834;-0.046750057;-0.03376973
887.09998;-0.056322716;-0.031051386;-0.045855269;-0.033336401
887.20001;-0.056307722;-0.030576723;-0.044784963;-0.032843456
887.29999;-0.05632665;-0.030562447;-0.043619864;-0.032209959
887.40002;-0.056408741;-0.031012941;-0.042457443;-0.031376857
887.5;-0.056580637;-0.031854663;-0.041387696;-0.030323859
887.59998;-0.056862354;-0.032951917;-0.0404705;-0.029077198
887.70001;-0.057262857;-0.034137808;-0.039721392;-0.027705718
887.79999;-0.057776429;-0.035251822;-0.039110105;-0.026305942
887.90002;-0.058381088;-0.036173891;-0.038572412;-0.024980146
888;-0.059039786;-0.036845878;-0.038031545;-0.023813603
888.09998;-0.059704632;-0.037275806;-0.037422337;-0.022857424
888.20001;-0.060323052;-0.037524804;-0.036710039;-0.022121673
888.29999;-0.060844645;-0.037681982;-0.035897594;-0.021580471
888.40002;-0.061227068;-0.037835203;-0.035018753;-0.02118684
888.5;-0.061439913;-0.0380463;-0.034119464;-0.020892408
888.59998;-0.061466184;-0.038337074;-0.033234172;-0.020665459
888.70001;-0.061301872;-0.038688693;-0.032365859;-0.020501707
888.79999;-0.060954534;-0.039052859;-0.031477846;-0.020424541
888.90002;-0.060441725;-0.03936981;-0.030501582;-0.020474961
889;-0.059789702;-0.039586909;-0.029359415;-0.02069498
889.09998;-0.059032023;-0.039672129;-0.027995655;-0.021110088
889.20001;-0.058207277;-0.039619125;-0.026405888;-0.021716809
889.29999;-0.057355102;-0.039443716;-0.024654131;-0.022479564
889.40002;-0.056510359;-0.039174348;-0.022870604;-0.023337854
889.5;-0.055696152;-0.03884045;-0.021228764;-0.024221482
889.59998;-0.054917607;-0.038462967;-0.019906906;-0.025068818
889.70001;-0.054158706;-0.038049627;-0.019044861;-0.025842164
889.79999;-0.053384129;-0.037595544;-0.018708514;-0.026535325
889.90002;-0.052546833;-0.037087787;-0.018872978;-0.02717109
890;-0.051600292;-0.036511321;-0.019429903;-0.02778971
890.09998;-0.050512329;-0.035853565;-0.020217141;-0.028432336
890.20001;-0.04927659;-0.035106059;-0.021062158;-0.02912507
890.29999;-0.047917634;-0.034262948;-0.021826409;-0.029868983
890.40002;-0.046487343;-0.033317767;-0.022437537;-0.030639285
890.5;-0.045052845;-0.032260675;-0.022900248;-0.031393953
890.59998;-0.043678958;-0.031078078;-0.023283329;-0.032088786
890.70001;-0.042410314;-0.029755775;-0.023687724;-0.032693878
890.79999;-0.041258894;-0.028285008;-0.024206365;-0.033205919
890.90002;-0.04020137;-0.026669631;-0.024888698;-0.033652298
