XDistance (m) (Distance  m)mm Left rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Right rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Left rail  horizontal irregularities (mm);Distance (m) (Distance  m)mm Right rail  horizontal irregularities (mm);
15.7;-0.002192976;-0.001618006;-0.00734184;-0.005915705
15.8;-0.002400901;-0.001709067;-0.007440722;-0.005926962
15.9;-0.002504893;-0.001812835;-0.007530866;-0.00593775
16;-0.002518265;-0.001950925;-0.007625874;-0.005944194
16.1;-0.002459095;-0.002145519;-0.00774279;-0.005937705
16.200001;-0.002343269;-0.002413621;-0.007897386;-0.005910644
16.299999;-0.002180043;-0.002761529;-0.008099573;-0.005862192
16.4;-0.001971644;-0.003181112;-0.008350338;-0.005801983
16.5;-0.001716788;-0.003649061;-0.008641141;-0.005749784
16.6;-0.00141632;-0.004129433;-0.008955841;-0.005730971
16.700001;-0.001078254;-0.004578974;-0.009274446;-0.005769148
16.799999;-0.000719645;-0.004953997;-0.009577368;-0.005878516
16.9;-0.000363927;-0.005217229;-0.009848734;-0.006058864
17;-3.42E-05;-0.005343203;-0.010077691;-0.006295314
17.1;0.000254918;-0.005321191;-0.010257402;-0.006563259
17.200001;0.000504422;-0.005155372;-0.010382322;-0.006837053
17.299999;0.000732484;-0.004862547;-0.010445004;-0.007099425
17.4;0.000970276;-0.004468168;-0.010433971;-0.007348116
17.5;0.001251856;-0.004001628;-0.010333826;-0.00759697
17.6;0.00160131;-0.003491707;-0.010128032;-0.007870577
17.700001;0.002021416;-0.002962852;-0.009803799;-0.008193866
17.799999;0.002488098;-0.002432663;-0.009357625;-0.00858005
17.9;0.002953332;-0.00191075;-0.008799683;-0.009021213
18;0.003356519;-0.001398934;-0.008155364;-0.009485245
18.1;0.003641446;-0.000892623;-0.007463092;-0.009920899
18.200001;0.003773854;-0.000383095;-0.006768624;-0.010270001
18.299999;0.003754074;0.00013971;-0.006117144;-0.010483372
18.4;0.003620403;0.000684387;-0.005545178;-0.010535465
18.5;0.003441636;0.001255829;-0.005074513;-0.010432953
18.6;0.003300448;0.001854031;-0.004709689;-0.010214241
18.700001;0.003272222;0.002474202;-0.00443963;-0.009939772
18.799999;0.003405395;0.003108107;-0.004242745;-0.009676029
18.9;0.003708953;0.003746161;-0.004093861;-0.009478176
19;0.004150611;0.004379526;-0.003970901;-0.009376795
19.1;0.004665945;0.005001437;-0.003859453;-0.009372751
19.200001;0.005175564;0.0056072;-0.00375421;-0.009441508
19.299999;0.005605172;0.006192848;-0.003657326;-0.009545007
19.4;0.005902797;0.006752989;-0.003574817;-0.009646745
19.5;0.006048702;0.007278863;-0.003512652;-0.009724675
19.6;0.006055953;0.007757753;-0.003474213;-0.009777548
19.700001;0.005962564;0.008174531;-0.003460089;-0.00982267
19.799999;0.005818496;0.008515475;-0.003470218;-0.009886292
19.9;0.005671927;0.008773551;-0.003507349;-0.009990465
20;0.005558819;0.008953607;-0.003580188;-0.010141479
20.1;0.005498217;0.009075593;-0.003704544;-0.01032439
20.200001;0.005493523;0.009174235;-0.00390144;-0.010505844
20.299999;0.005538045;0.0092944;-0.004192216;-0.010644373
20.4;0.005622019;0.009482727;-0.004591791;-0.010704449
20.5;0.00573837;0.009777285;-0.005102123;-0.010669201
20.6;0.005885476;0.010197856;-0.005708076;-0.010547052
20.700001;0.006066723;0.010739489;-0.006377407;-0.01036974
20.799999;0.006287914;0.011371242;-0.007065456;-0.010182248
20.9;0.006554368;0.012040741;-0.007723731;-0.010028229
21;0.00686923;0.01268347;-0.008310358;-0.009936086
21.1;0.007233753;0.013234559;-0.008799747;-0.0099108
21.200001;0.007649063;0.013640113;-0.009188856;-0.009934396
21.299999;0.008118092;0.013865428;-0.009498384;-0.009974904
21.4;0.008646107;0.013898468;-0.009768507;-0.010000432
21.5;0.009238781;0.013748393;-0.010050209;-0.009993057
21.6;0.009897814;0.0134404;-0.01039438;-0.009957242
21.700001;0.010615315;0.013008933;-0.010841271;-0.009919383
21.799999;0.011368879;0.012491476;-0.011412661;-0.009918366
21.9;0.012119423;0.011924474;-0.012108169;-0.009990319
22;0.012813092;0.011341753;-0.012906044;-0.010153036
22.1;0.013387337;0.010774786;-0.013767601;-0.010395763
22.200001;0.013779938;0.010253261;-0.014643875;-0.010678368
22.299999;0.013938835;0.009804584;-0.015482808;-0.010940543
22.4;0.013830477;0.00945146;-0.016235709;-0.011118247
22.5;0.013444867;0.009207841;-0.016862294;-0.011161938
22.6;0.012796639;0.009074607;-0.017334195;-0.01105051
22.700001;0.011922548;0.009036807;-0.017637303;-0.010796401
22.799999;0.010876624;0.009064199;-0.017773157;-0.010440371
22.9;0.009724444;0.009115826;-0.017759437;-0.010038142
23;0.008537552;0.009148048;-0.017629147;-0.009643907
23.1;0.007388462;0.009124128;-0.017427878;-0.009296562
23.200001;0.006345934;0.009022752;-0.017208677;-0.009013442
23.299999;0.005470062;0.008842982;-0.017024543;-0.008793252
23.4;0.004806919;0.008604156;-0.016919507;-0.008626355
23.5;0.004383241;0.008340785;-0.016919876;-0.008507701
23.6;0.004202348;0.008094127;-0.017027929;-0.008446653
23.700001;0.004242855;0.007903091;-0.017219959;-0.00846908
23.799999;0.004461498;0.007797261;-0.017449908;-0.008610126
23.9;0.00480035;0.007793952;-0.017658396;-0.008899863
24;0.00519737;0.007899591;-0.017785385;-0.009346959
24.1;0.005597901;0.008114126;-0.017783655;-0.009926898
24.200001;0.005964066;0.008435965;-0.017629597;-0.010579963
24.299999;0.006279376;0.00886479;-0.017328521;-0.011221091
24.4;0.006547127;0.009400505;-0.016912909;-0.011759495
24.5;0.006783182;0.010038284;-0.016434029;-0.012122321
