X a:y(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Y, a:z(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Z,
0.84062499,-3.7321129,-8.5770712
0.84562498,-8.9123917,-9.3793926
0.85062498,-12.779819,-9.4650726
0.85562497,-13.58648,-8.7897148
0.86062503,-11.343195,-7.498044
0.86562502,-7.9031038,-5.747613
0.87062502,-5.6145315,-3.2186511
0.87562501,0.39136758,0.24993314
0.88062501,6.7365065,3.9534683
0.885625,12.189672,7.5074854
0.890625,12.794386,10.147933
0.895625,11.290521,12.244586
0.90062499,9.3072376,13.789977
0.90562499,6.5569348,14.503216
0.91062498,3.7771242,14.251842
0.91562498,1.2985412,13.153189
0.92062497,-0.74365377,11.50843
0.92562503,-2.0989552,9.2579813
0.93062502,-4.4591312,6.2699928
0.93562502,-8.0270061,2.9221408
0.94062501,-6.3580589,-0.11648968
0.94562501,-2.8029816,-3.0397193
0.950625,-0.68674594,-5.9568887
0.955625,0.23539756,-8.4200249
0.96062499,1.5159916,-9.9358597
0.96562499,3.1592004,-10.457694
0.97062498,4.287571,-10.206017
0.97562498,4.5984573,-9.2819443
0.98062497,4.2918215,-7.6738591
0.98562503,3.1101341,-5.396419
0.99062502,-1.9352095,-2.4172459
0.99562502,-6.4969664,0.43879381
1.000625,-8.390852,2.8803909
1.005625,-10.079209,4.9227085
1.010625,-13.391892,6.3256674
1.015625,-15.612456,6.7800798
1.020625,-14.570771,6.2641363
1.025625,-11.799582,5.0632706
1.030625,-9.8744001,3.5750313
1.035625,-9.4592314,1.9166261
1.040625,-6.9626923,-0.31357434
1.045625,-4.0080686,-2.6373041
1.050625,-2.7981787,-4.6845436
1.055625,-2.5545382,-6.5104055
1.060625,-1.7385486,-8.200263
1.065625,-0.10481788,-9.6653547
1.0706249,1.6320015,-10.620807
1.0756249,3.0244241,-10.854066
1.0806251,4.6937513,-10.548736
1.0856251,6.8524594,-9.7292128
1.090625,7.9799023,-8.1190891
1.095625,6.8507752,-5.7543073
1.100625,5.9925766,-3.1904519
1.105625,3.2172418,-0.33306897
1.110625,-0.48207575,2.3253677
1.115625,-3.0780106,4.4163599
1.120625,-4.1371021,5.8370771
1.125625,-5.7060862,6.5827994
1.130625,-3.2699406,6.5366521
1.135625,-0.25061655,5.5494967
1.140625,1.4737551,4.2790093
1.145625,4.3587174,2.6654079
1.150625,8.3709793,0.91996419
1.155625,12.662956,-0.79820633
1.160625,16.023638,-1.9311895
1.165625,17.027693,-1.802789
1.170625,15.60003,-0.54005432
1.175625,11.88449,1.2897413
1.180625,6.4202943,3.6848435
1.185625,0.57332957,6.2333202
1.190625,-4.2026024,8.4971609
1.1956249,-7.2913594,10.150229
1.2006249,-8.7186251,11.042917
1.2056251,-8.738492,11.115364
1.2106251,-7.6424394,10.340742
1.215625,-5.8899026,8.7538824
1.220625,-4.0272422,6.482945
1.225625,-2.3365605,3.7328033
1.230625,-1.0388787,0.54442549
1.235625,0.21102588,-2.651907
1.240625,1.4461515,-5.7369633
1.245625,2.8417318,-8.5050936
1.250625,4.2226868,-10.711522
1.255625,5.0723634,-12.255368
1.260625,3.5384121,-13.121038
1.265625,1.900178,-12.534902
1.270625,1.0296577,-10.41783
1.275625,1.0095117,-7.7471786
1.280625,1.1267393,-4.6833138
