X a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z,
1.105625,0,0.06142531
1.110625,0,-0.023340205
1.115625,0,-0.018491149
1.1201251,0,-0.029328875
1.1251251,0,-0.02078527
1.130125,0,0.020930702
1.135125,0,0.026578875
1.141125,0,-0.012089564
1.145125,0,0.027730184
1.151125,0,-0.028325679
1.155125,0,0.012342264
1.1611249,0,-0.01954543
1.165125,0,-0.018788865
1.1711251,0,-0.036201797
1.175125,0,-0.16405466
1.180625,0,-0.026693342
1.185625,0,-0.023431171
1.190625,0,0.038001824
1.1956249,0,-0.018319078
1.201625,0,0.046159737
1.2056251,0,-0.011318775
1.211625,0,0.018234154
1.215625,0,-0.035064358
1.220125,0,0.019416176
1.225125,0,-0.018445902
1.230125,0,0.024145406
1.2351249,0,-0.12176576
1.2401249,0,-0.0087016141
1.2451251,0,-0.040326245
1.2501251,0,0.013989124
1.256125,0,0.028154097
1.260125,0,0.026373515
1.266125,0,0.020625439
1.270125,0,0.015366182
1.275125,0,-0.021019703
1.280125,0,-0.0075014448
1.2861249,0,0.0083965426
1.290125,0,-0.0062630558
1.2961251,0,-0.011726172
1.300125,0,-0.00090026465
1.305125,0,0.00074869703
1.311125,0,0.0012074633
1.315125,0,0.03719499
1.320125,0,-0.0054085054
1.325125,0,-0.011079283
1.330125,0,0.0099146469
1.335125,0,-0.030514203
1.340125,0,0.01761264
1.345125,0,-0.0099328477
1.351125,0,0.01278758
1.355125,0,-0.0056724288
1.361125,0,0.0028074032
1.3651249,0,-0.020958312
1.3701251,0,0.0071822284
1.376125,0,-0.017519053
1.380125,0,0.015827004
1.386125,0,-0.0017552053
1.390125,0,-0.00096218073
1.396125,0,-0.0097685279
1.400125,0,-0.11926825
1.405125,0,0.051283706
1.410625,0,0.086596012
1.415625,0,-0.048985109
1.420625,0,0.02644759
1.425625,0,0.018229317
1.431625,0,-0.0014316378
1.435625,0,-0.002289694
1.441625,0,0.011995488
1.4456249,0,0.012968213
1.451625,0,-0.000402089
1.4556251,0,-0.0059482534
1.4606251,0,0.01894146
1.466625,0,0.0029733924
1.470625,0,0.0028873095
1.476625,0,0.0082486905
1.480625,0,0.0069853952
1.486625,0,-0.0064702523
1.490625,0,0.035502035
1.495625,0,0.005110451
1.500625,0,-0.0082077244
1.505625,0,0.0047978167
1.5116251,0,0.0030092134
1.515625,0,-0.01845091
1.520625,0,-0.008707758
1.525625,0,-0.010092723
1.530625,0,-0.016382346
1.536625,0,-0.0089247674
1.540625,0,2.0188136E-0005
1.546625,0,0.011389541
1.550125,0,0.0029192378
1.555125,0,0.0099144792
1.560125,0,0.0032724987
1.565125,0,0.0012810359
1.571125,0,0.0013649182
1.575125,0,-4.0643419E-0005
1.581125,0,0.0030023272
1.585125,0,0.0067626783
1.590125,0,0.0066039651
1.595625,0,0.0069633457
1.600625,0,0.013468482
1.605625,0,0.015474342
1.611625,0,0.01194892
1.615625,0,-0.0048155552
1.6216249,0,-0.0052500493
1.625625,0,0.0024171269
1.630125,0,0.0094079422
1.635125,0,-0.0093995752
1.640125,0,-7.3976422E-0005
1.646125,0,0.011840859
1.650125,0,-0.011992032
1.6561249,0,-0.01878388
1.660125,0,-0.037276533
1.665125,0,-0.04466315
1.670125,0,-0.032984056
1.675125,0,0.015999353
1.681125,0,0.0019798113
1.685125,0,-0.038144793
1.690125,0,0.0061645694
1.695125,0,-0.0011733162
1.700125,0,0.0026536009
1.706125,0,-0.0056759538
1.710125,0,-0.021459874
1.715125,0,0.0053236531
1.720125,0,0.008112886
1.725125,0,0.011452394
1.731125,0,0.015862575
1.7351249,0,0.016398709
1.7401249,0,-0.0042468607
1.7451251,0,0.011749527
1.7501251,0,0.0048600915
1.756125,0,0.011482165
1.760125,0,0.0023043817
1.766125,0,0.0045532226
1.770125,0,0.003863449
1.775625,0,0.010152453
1.780625,0,0.00066812587
1.786625,0,0.00054984557
1.790625,0,0.014603657
1.796625,0,0.0059022242
1.800625,0,0.0033762262
1.805625,0,-0.022747446
1.811625,0,-0.015583231
1.815625,0,-0.00076934882
1.821625,0,0.005495653
1.8256249,0,-0.0089155026
1.8306251,0,-0.0065071466
1.836625,0,-0.011156527
1.840625,0,0.001681927
1.846625,0,0.0042697173
1.850625,0,-0.021283176
1.855625,0,0.013231429
1.861625,0,0.006739906
1.865625,0,-0.0014252089
1.8716249,0,-0.00081578724
1.875625,0,0.0096062776
1.880625,0,0.0063319919
1.885625,0,0.0064205308
1.890625,0,0.0008971325
1.896625,0,-0.0080455709
1.900625,0,-0.022297449
1.905625,0,-0.01272276
1.910625,0,0.00037380654
1.915625,0,-0.0028405946
1.921625,0,-0.0040557981
1.925625,0,0.0024168068
1.930625,0,0.018387098
1.935625,0,-0.020063981
1.940625,0,-0.015553172
1.946625,0,-0.0086821066
1.9506249,0,-0.0040756976
1.956625,0,-0.041911259
1.9606251,0,-0.002737633
1.965625,0,0.0016488178
1.970625,0,-0.0036157528
1.975625,0,0.0046432843
1.981625,0,-0.0033165913
1.985625,0,-0.0045710406
1.990625,0,0.00376561
1.995625,0,0.0061124633
2.0006249,0,0.0071092108
2.0066249,0,0.012027141
2.0106249,0,-0.00087707239
2.015625,0,0.010032796
2.0206251,0,0.0046149204
2.025625,0,0.0011394626
2.031625,0,0.0012641946
2.035625,0,-0.0099597313
2.0406251,0,0.0013817261
2.045625,0,-0.0023100574
2.0506251,0,-0.00088188413
2.0566249,0,0.0046900627
2.0606251,0,0.0056802691
2.065625,0,0.034063749
2.0706251,0,-0.0077131805
2.0756249,0,-0.010291575
2.081625,0,0.013496055
2.0856249,0,0.0044472958
2.090625,0,0.011037648
2.0956249,0,0.0013146707
2.100625,0,0.00094366702
2.1066251,0,-0.017595818
