X a:y(Car body) - Acceleration of point (-6 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (-6 0 1) of body Car body relative to Base0  SC Base0  projection Z,
1.091625,0,0.00095445249
1.095625,0,-0.028849911
1.100625,0,-0.73973805
1.105625,0,0.18737809
1.110625,0,-0.1881745
1.115625,0,-0.15603422
1.1201251,0,0.19512346
1.1251251,0,-0.080796979
1.130125,0,-0.031180194
1.135125,0,0.12543312
1.141125,0,-0.007154061
1.145125,0,0.16318229
1.151125,0,-0.018172745
1.155125,0,0.08090768
1.1611249,0,0.015734803
1.165125,0,0.0050913189
1.1711251,0,-0.011379838
1.175125,0,0.27556828
1.180625,0,0.020723144
1.185625,0,0.097562447
1.190625,0,-0.027242344
1.1956249,0,0.055854917
1.201625,0,0.0024576911
1.2056251,0,0.021888956
1.211625,0,-0.0016066175
1.215625,0,-0.031389896
1.220125,0,-0.061987735
1.225125,0,-0.030533811
1.230125,0,-0.0080455821
1.2351249,0,-0.50960255
1.2401249,0,0.14931954
1.2451251,0,-0.13591449
1.2501251,0,0.04921262
1.256125,0,-0.023785643
1.260125,0,0.095879741
1.266125,0,0.011800641
1.270125,0,0.022281025
1.275125,0,0.052075412
1.280125,0,0.057027195
1.2861249,0,-0.09372972
1.290125,0,0.034368198
1.2961251,0,-0.0042362553
1.300125,0,0.03638583
1.305125,0,0.027137766
1.311125,0,-0.017052904
1.315125,0,0.17121276
1.320125,0,0.020881683
1.325125,0,0.022103162
1.330125,0,0.065684035
1.335125,0,-0.073730707
1.340125,0,0.10002574
1.345125,0,0.0059142802
1.351125,0,0.047782175
1.355125,0,-0.0085966829
1.361125,0,0.022198763
1.3651249,0,0.04867303
1.3701251,0,0.036546484
1.376125,0,-0.07226181
1.380125,0,0.029111527
1.386125,0,-0.034129705
1.390125,0,-0.03476109
1.396125,0,-0.063140981
1.400125,0,-0.40899563
1.405125,0,0.14416896
1.410625,0,0.25369409
1.415625,0,-0.21556041
1.420625,0,0.029408401
1.425625,0,0.024387319
1.431625,0,-0.027657678
1.435625,0,-0.031472147
1.441625,0,0.019757554
1.4456249,0,0.032977648
1.451625,0,0.0015513632
1.4556251,0,-0.0086464994
1.4606251,0,0.076471537
1.466625,0,0.026826255
1.470625,0,0.038978808
1.476625,0,0.060101949
1.480625,0,0.063432485
1.486625,0,-0.0041139312
1.490625,0,0.13842589
1.495625,0,0.039804138
1.500625,0,0.0042653433
1.505625,0,0.0251859
1.5116251,0,0.056254171
1.515625,0,-0.021027165
1.520625,0,-0.016058549
1.525625,0,-0.0062438441
1.530625,0,-0.038424708
1.536625,0,-0.042929437
1.540625,0,0.015318488
1.546625,0,-0.044496614
1.550125,0,-0.023743181
1.555125,0,-0.035377208
1.560125,0,-0.04634805
1.565125,0,-0.033217616
1.571125,0,-0.024340747
1.575125,0,-0.036383919
1.581125,0,-0.026055222
1.585125,0,-0.011817298
1.590125,0,-0.0060434998
1.595625,0,-0.0086816456
1.600625,0,0.015438586
